Originale,Tema,Risultato,Tipo
Tananai,Pianta,PIANTANANAI,Overlap
Lazza,Pizza,PIZZZA,Sillabico
Sfera Ebbasta,Pasta,SFERA EPPASTA,Fonetico
Marracash,Cashmere,MARRACASHMERE,Estensione
Salmo,Salmone,SALMONE,Inclusione
Madame,Amaca,MADAMACA,Incastro
Annalisa,Analisi,ANNALISI,Portmanteau
Ghali,Gallina,GHALLINA,Fonetico
Mahmood,Moda,MAHMODA,Sostituzione
Blanco,Banchetto,BLANCHETTO	Incastro
Elodie,Melodia,ELODIA,Fonetico
Angelina Mango,Mangio,ANGELINA MANGIO,Estensione
Rose Villain,Villa,ROSE VILLAIN,Identità
Bresh,Fresco,BRESHCO,Fonetico
Nitro,Idrogeno,NITROGENO,Portmanteau
Mina,Minerale,MINARALE,Inclusione
Tesla.Tastiera.TESLIERA,Incastro
Amazon,Zona,AMAZONA,Estensione
Netflix,Felicità,NETFELIX,Portmanteau
Coca Cola,Colazione,COCA COLAZIONE,Estensione
Ferrari,Farina,FERRARINA,Sillabico
Jannik Sinner,Sinergia,JANNIK SINNERGIA,Estensione
Valentino Rossi,Ossido,VALENTINO ROSSIDO,Sillabico
Marie Curie,Curiosità,MARIE CURIOSITÀ,Estensione
Lasagna,Sognare,LASOGNA,Portmanteau
Tiramisù,Misura,TIRAMISURA,Estensione
Colosseo,Geo,COLOSSGEO,Incastro
Torre Eiffel,Felpa,TORRE EIFFELPA,Estensione
